station_name,city,state,latitude,longitude,last_update,total_pollutants_monitored,cloudiness,co_avg,co_max,co_min,co_unit,feels_like,humidity,nh3_avg,nh3_max,nh3_min,nh3_unit,no2_avg,no2_max,no2_min,no2_unit,openweather_aqi,ow_co,ow_nh3,ow_no,ow_no2,ow_o3,ow_pm10,ow_pm25,ow_so2,pm10_avg,pm10_max,pm10_min,pm10_unit,pm25_avg,pm25_max,pm25_min,pm25_unit,pressure,so2_avg,so2_max,so2_min,so2_unit,sunrise,sunset,temperature,visibility,weather_description,weather_main,weather_timestamp,wind_direction,wind_gust,wind_speed
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,28.672342,77.31526,21-09-2025 16:00:00,6,0,38.0,58.0,35.0,µg/m³,33.11,28,8.0,9.0,7.0,µg/m³,25.0,40.0,10.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,125.0,156.0,101.0,µg/m³,61.0,74.0,45.0,µg/m³,1002,19.0,27.0,11.0,µg/m³,1758415113,1758458957,34.12,10000,clear sky,Clear,2025-09-21T16:49:54.629001,325,6.14,4.99
"Wazirpur, Delhi - DPCC",Delhi,Delhi,28.699793,77.165453,21-09-2025 16:00:00,6,40,34.0,46.0,28.0,µg/m³,38.21,49,7.0,8.0,5.0,µg/m³,53.0,72.0,31.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,158.0,216.0,126.0,µg/m³,66.0,91.0,48.0,µg/m³,1002,23.0,29.0,16.0,µg/m³,1758415149,1758458993,34.07,5000,haze,Haze,2025-09-21T16:49:55.595071,290,8.23,3.09
"Rohini, Delhi - DPCC",Delhi,Delhi,28.732528,77.11992,21-09-2025 16:00:00,6,40,14.0,22.0,11.0,µg/m³,38.25,49,8.0,9.0,8.0,µg/m³,10.0,16.0,3.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,124.0,155.0,90.0,µg/m³,59.0,93.0,28.0,µg/m³,1002,3.0,3.0,2.0,µg/m³,1758415160,1758459004,34.09,5000,haze,Haze,2025-09-21T16:49:56.513580,290,8.23,3.09
"Shadipur, Delhi - CPCB",Delhi,Delhi,28.6514781,77.1473105,21-09-2025 16:00:00,6,40,35.0,58.0,27.0,µg/m³,38.19,49,7.0,8.0,6.0,µg/m³,83.0,134.0,63.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,115.0,123.0,109.0,µg/m³,90.0,99.0,84.0,µg/m³,1002,14.0,18.0,5.0,µg/m³,1758415154,1758458997,34.06,5000,haze,Haze,2025-09-21T16:49:57.435715,290,8.23,3.09
"Sirifort, Delhi - CPCB",Delhi,Delhi,28.5504249,77.2159377,21-09-2025 16:00:00,6,40,5.0,36.0,1.0,µg/m³,38.1,49,12.0,13.0,8.0,µg/m³,60.0,71.0,20.0,µg/m³,3,146.26,1.65,0.33,2.41,88.31,66.2,21.56,1.37,140.0,265.0,104.0,µg/m³,53.0,91.0,1.0,µg/m³,1002,29.0,31.0,28.0,µg/m³,1758415138,1758458980,34.02,5000,haze,Haze,2025-09-21T16:49:58.391185,290,8.23,3.09
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,28.531346,77.190156,21-09-2025 16:00:00,6,40,32.0,46.0,26.0,µg/m³,37.95,49,5.0,6.0,5.0,µg/m³,12.0,19.0,3.0,µg/m³,3,142.28,1.86,0.3,2.16,88.97,63.45,20.76,1.31,96.0,135.0,64.0,µg/m³,61.0,97.0,40.0,µg/m³,1002,4.0,6.0,3.0,µg/m³,1758415144,1758458986,33.95,5000,haze,Haze,2025-09-21T16:49:59.298729,290,8.23,3.09
"Mandir Marg, Delhi - DPCC",Delhi,Delhi,28.636429,77.201067,21-09-2025 16:00:00,6,40,20.0,120.0,11.0,µg/m³,38.04,49,8.0,9.0,7.0,µg/m³,18.0,34.0,7.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,100.0,148.0,27.0,µg/m³,74.0,220.0,10.0,µg/m³,1002,27.0,48.0,3.0,µg/m³,1758415141,1758458984,33.99,5000,haze,Haze,2025-09-21T16:50:00.214248,290,8.23,3.09
"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,28.60909,77.0325413,21-09-2025 16:00:00,6,40,38.0,53.0,12.0,µg/m³,38.23,49,9.0,10.0,9.0,µg/m³,80.0,109.0,54.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,94.0,116.0,70.0,µg/m³,40.0,71.0,24.0,µg/m³,1002,27.0,32.0,22.0,µg/m³,1758415182,1758459025,34.08,5000,haze,Haze,2025-09-21T16:50:01.161934,290,8.23,3.09
"Najafgarh, Delhi - DPCC",Delhi,Delhi,28.570173,76.933762,21-09-2025 16:00:00,5,40,23.0,34.0,14.0,µg/m³,38.3,49,,,,,5.0,9.0,2.0,µg/m³,3,138.33,2.07,0.27,1.91,89.63,60.7,19.96,1.24,100.0,131.0,73.0,µg/m³,44.0,65.0,20.0,µg/m³,1002,2.0,4.0,1.0,µg/m³,1758415206,1758459048,34.11,5000,haze,Haze,2025-09-21T16:50:02.116852,290,8.23,3.09
"Narela, Delhi - DPCC",Delhi,Delhi,28.822836,77.101981,21-09-2025 16:00:00,6,0,57.0,60.0,54.0,µg/m³,33.97,33,18.0,23.0,16.0,µg/m³,14.0,27.0,5.0,µg/m³,3,146.12,1.89,0.32,2.39,90.88,76.39,23.59,1.64,122.0,164.0,86.0,µg/m³,62.0,118.0,41.0,µg/m³,1002,6.0,9.0,1.0,µg/m³,1758415164,1758459009,34.09,10000,clear sky,Clear,2025-09-21T16:50:03.905146,322,6.33,4.7
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,28.56789,77.250515,21-09-2025 16:00:00,6,40,9.0,26.0,2.0,µg/m³,38.19,49,6.0,9.0,3.0,µg/m³,11.0,19.0,4.0,µg/m³,3,146.26,1.65,0.33,2.41,88.31,66.2,21.56,1.37,112.0,145.0,89.0,µg/m³,69.0,331.0,33.0,µg/m³,1002,9.0,22.0,3.0,µg/m³,1758415130,1758458972,34.06,5000,haze,Haze,2025-09-21T16:50:05.114202,290,8.23,3.09
"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,28.530785,77.271255,21-09-2025 16:00:00,6,40,39.0,71.0,18.0,µg/m³,38.12,49,6.0,7.0,5.0,µg/m³,51.0,72.0,38.0,µg/m³,3,146.26,1.65,0.33,2.41,88.31,66.2,21.56,1.37,134.0,155.0,111.0,µg/m³,48.0,63.0,32.0,µg/m³,1002,6.0,7.0,4.0,µg/m³,1758415125,1758458967,34.03,5000,haze,Haze,2025-09-21T16:50:06.646189,290,8.23,3.09
"Patparganj, Delhi - DPCC",Delhi,Delhi,28.623763,77.287209,21-09-2025 16:00:00,6,40,34.0,60.0,28.0,µg/m³,38.38,49,6.0,7.0,6.0,µg/m³,38.0,75.0,13.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,134.0,159.0,105.0,µg/m³,69.0,95.0,42.0,µg/m³,1002,9.0,10.0,8.0,µg/m³,1758415121,1758458964,34.15,5000,haze,Haze,2025-09-21T16:50:09.025881,290,8.23,3.09
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,28.674045,77.131023,21-09-2025 16:00:00,5,40,41.0,54.0,36.0,µg/m³,38.23,49,6.0,18.0,3.0,µg/m³,19.0,34.0,8.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,,,,,76.0,243.0,28.0,µg/m³,1002,6.0,8.0,4.0,µg/m³,1758415158,1758459001,34.08,5000,haze,Haze,2025-09-21T16:50:10.604111,290,8.23,3.09
"Pusa, Delhi - DPCC",Delhi,Delhi,28.639652,77.146275,21-09-2025 16:00:00,6,40,43.0,101.0,26.0,µg/m³,38.17,49,8.0,14.0,2.0,µg/m³,67.0,91.0,52.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,151.0,197.0,95.0,µg/m³,59.0,77.0,40.0,µg/m³,1002,33.0,54.0,19.0,µg/m³,1758415154,1758458997,34.05,5000,haze,Haze,2025-09-21T16:50:12.303215,290,8.23,3.09
"R K Puram, Delhi - DPCC",Delhi,Delhi,28.563262,77.186937,21-09-2025 16:00:00,6,40,30.0,82.0,10.0,µg/m³,38.08,49,6.0,10.0,4.0,µg/m³,38.0,70.0,10.0,µg/m³,3,142.28,1.86,0.3,2.16,88.97,63.45,20.76,1.31,117.0,141.0,91.0,µg/m³,67.0,98.0,42.0,µg/m³,1002,14.0,21.0,6.0,µg/m³,1758415145,1758458987,34.01,5000,haze,Haze,2025-09-21T16:50:14.352581,290,8.23,3.09
"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,28.5627763,77.1180053,21-09-2025 16:00:00,3,20,,,,,38.02,49,,,,,60.0,104.0,28.0,µg/m³,3,142.28,1.86,0.3,2.16,88.97,63.45,20.76,1.31,115.0,146.0,87.0,µg/m³,54.0,92.0,25.0,µg/m³,1002,,,,,1758415162,1758459004,33.98,5000,haze,Haze,2025-09-21T16:50:16.194842,300,,4.63
"ITO, Delhi - CPCB",Delhi,Delhi,28.628624,77.24106,21-09-2025 16:00:00,6,40,39.0,65.0,32.0,µg/m³,38.27,49,5.0,5.0,4.0,µg/m³,86.0,97.0,79.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,100.0,121.0,79.0,µg/m³,58.0,75.0,40.0,µg/m³,1002,11.0,17.0,5.0,µg/m³,1758415132,1758458975,34.1,5000,haze,Haze,2025-09-21T16:50:19.885172,290,8.23,3.09
"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.647622,77.315809,21-09-2025 16:00:00,6,0,81.0,115.0,66.0,µg/m³,32.98,27,6.0,7.0,4.0,µg/m³,39.0,61.0,21.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,219.0,426.0,105.0,µg/m³,161.0,312.0,5.0,µg/m³,1002,34.0,44.0,15.0,µg/m³,1758415114,1758458957,34.14,10000,clear sky,Clear,2025-09-21T16:50:21.521235,324,6.07,5.03
"Ashok Vihar, Delhi - DPCC",Delhi,Delhi,28.695381,77.181665,21-09-2025 16:00:00,5,20,47.0,66.0,40.0,µg/m³,38.19,49,,,,,28.0,44.0,10.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,129.0,153.0,107.0,µg/m³,63.0,120.0,20.0,µg/m³,1002,15.0,22.0,10.0,µg/m³,1758415145,1758458989,34.06,5000,haze,Haze,2025-09-21T16:50:23.276827,300,,4.63
"Aya Nagar, Delhi - IMD",Delhi,Delhi,28.4706914,77.1099364,21-09-2025 16:00:00,4,20,33.0,40.0,26.0,µg/m³,37.51,49,,,,,16.0,37.0,3.0,µg/m³,3,142.28,1.86,0.3,2.16,88.97,63.45,20.76,1.31,93.0,138.0,52.0,µg/m³,50.0,89.0,23.0,µg/m³,1002,,,,,1758415164,1758459005,33.74,5000,haze,Haze,2025-09-21T16:50:25.629794,300,,4.63
"Mundka, Delhi - DPCC",Delhi,Delhi,28.684678,77.076574,21-09-2025 16:00:00,6,20,27.0,59.0,22.0,µg/m³,38.25,49,3.0,4.0,3.0,µg/m³,32.0,52.0,17.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,158.0,288.0,94.0,µg/m³,56.0,98.0,22.0,µg/m³,1002,14.0,22.0,10.0,µg/m³,1758415171,1758459014,34.09,5000,haze,Haze,2025-09-21T16:50:26.540549,300,,4.63
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,28.710508,77.249485,21-09-2025 16:00:00,6,0,58.0,72.0,42.0,µg/m³,33.13,28,7.0,9.0,6.0,µg/m³,21.0,38.0,10.0,µg/m³,3,146.35,1.58,0.33,2.4,89.37,72.14,22.3,1.37,110.0,141.0,85.0,µg/m³,53.0,83.0,30.0,µg/m³,1002,28.0,34.0,25.0,µg/m³,1758415129,1758458973,34.14,10000,clear sky,Clear,2025-09-21T16:50:28.281267,322,6.1,4.97
"North Campus, DU, Delhi - IMD",Delhi,Delhi,28.6573814,77.1585447,21-09-2025 16:00:00,4,40,6.0,26.0,1.0,µg/m³,38.04,49,,,,,31.0,57.0,16.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,122.0,150.0,99.0,µg/m³,55.0,83.0,36.0,µg/m³,1002,,,,,1758415151,1758458995,33.99,5000,haze,Haze,2025-09-21T16:50:29.657934,290,8.23,3.09
"Pusa, Delhi - IMD",Delhi,Delhi,28.63611,77.173332,21-09-2025 16:00:00,4,40,32.0,41.0,26.0,µg/m³,37.91,49,,,,,11.0,17.0,7.0,µg/m³,3,140.91,1.77,0.29,2.1,88.93,68.48,21.17,1.15,103.0,142.0,55.0,µg/m³,61.0,197.0,9.0,µg/m³,1002,,,,,1758415148,1758458991,33.93,5000,haze,Haze,2025-09-21T16:50:32.062815,290,8.23,3.09
